"feature"	"intensity"	"Average.Rt.min."	"Average.Mz"	"molecularFormula.x"	"adduct.x"	"precursorFormula.x"	"NPC.pathway"	"NPC.pathway.Probability"	"NPC.superclass"	"NPC.superclass.Probability"	"NPC.class"	"NPC.class.Probability"	"ClassyFire.superclass"	"ClassyFire.superclass.probability"	"ClassyFire.class"	"ClassyFire.class.Probability"	"ClassyFire.subclass"	"ClassyFire.subclass.Probability"	"ClassyFire.level.5"	"ClassyFire.level.5.Probability"	"ClassyFire.most.specific.class"	"ClassyFire.most.specific.class.Probability"	"ClassyFire.all.classifications"	"overallFeatureQuality.x"	"structurePerIdRank"	"formulaRank.y"	"ConfidenceScoreExact"	"ConfidenceScoreApproximate"	"CSI.FingerIDScore"	"ZodiacScore"	"SiriusScore"	"InChIkey2D"	"InChI"	"name"	"smiles"	"xlogp"	"pubchemids"	"links"
"P_24564"	13806913	0.933	365.10523	"C12H22O11"	"[M + Na]+"	"C12H22NaO11+"	"Carbohydrates"	"1,000"	"Saccharides"	"1,000"	"Disaccharides"	"0,998"	"Organic oxygen compounds"	"1,000"	"Organooxygen compounds"	"1,000"	"Carbohydrates and carbohydrate conjugates"	"1,000"	"Glycosyl compounds"	"0,986"	"C-glycosyl compounds"	"0,515"	"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Disaccharides; Acetals; Secondary alcohols; Oxanes; Glycosyl compounds; C-glycosyl compounds; O-glycosyl compounds; Polyols; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	NA	1	1	"0,687"	"0,694"	"-26,166"	NA	"21,397"	"CZMRCDWAGMRECN"	"InChI=1S/C12H22O11/c13-1-4-6(16)8(18)9(19)11(21-4)23-12(3-15)10(20)7(17)5(2-14)22-12/h4-11,13-20H,1-3H2"	"Sucrose"	"C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O"	"-4,408"	"42552636;42552748;95479526;118855898;118856097;101190003;101414858;101433504;102602453;58798222;124897586;124897589;124897590;124905301;9798109;9907067;157738396;157738398;53301851;53384916;94008900;94011385;94011386;146527436;87786366;15560349;15560351;15560355;15560360;15560361;15560364;50990598;16071271;23304668;16217536;16219991;51404248;51404249;51404250;51404251;163507143;163507144;163507145;163507146;53748486;53748487;53748488;53748489;53748490;53748491;53748492;129705146;129729514;22827006;69501288;22886035;69860867;58307999;7566553;7566558;7566987;7566990;137145974;124099437;102041674;102041675;102041676;102217474;102425861;162701524;95566337;162938326;162938327;162938328;136212896;6326101;59059877;59103604;59105062;97052224;59378726;156514436;66788661;156614224;156614225;156614231;156614239;156614241;156614251;156616667;156616668;156619127;89770229;16663020;89989618;56628400;56845955;70899489;91692850;3036169;91846522;91850964;91857064;10215500;69175355;69497010;641624;641681;99957894;60078499;60078646;60109619;129316839;29987096;29987099;165412853;165412854;165412855;165412856;89355142;90945623;71752269;93091914;93286457;123532914;131801521;131801522;158027103;68152165;68233016;68243417;68255877;68321398;139025105;139025265;45040429;70087999;98092727;98092728;92854535;59664699;10903976;1115;5988;193385;196128;448244;46782954;46936484;93532320;93532321;91242203;117783796;133568280;133611801;133687166;49766505;164721228;18649154;71024598;71024603;71026769;71078848;71122057;71160516;71171065;71295147;57181456;71306938;71309926;71310301;57193742;44120115;71469257;57358095;57702372;57997981;68519390;99134536;24892744;68984672;68986737"	"PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0000258 HMDB0246276);MiMeDB:(MMDBc0000508 MMDBc0054362);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(53748491 3036169 5988 57345277 53748487 1115);SUPERNATURAL:(SN0059805);HSDB:(57-50-1);MESH:(5988 193385 196128 3036169 7566553);FooDB:(FDB001131 FDB003715 FDB021085);PUBCHEM:(42552636 42552748 95479526 118855898 118856097 101190003 101414858 101433504 102602453 58798222 124897586 124897589 124897590 124905301 9798109 9907067 157738396 157738398 53301851 53384916 94008900 94011385 94011386 146527436 87786366 15560349 15560351 15560355 15560360 15560361 15560364 50990598 16071271 23304668 16217536 16219991 51404248 51404249 51404250 51404251 163507143 163507144 163507145 163507146 53748486 53748487 53748488 53748489 53748490 53748491 53748492 129705146 129729514 22827006 69501288 22886035 69860867 58307999 7566553 7566558 7566987 7566990 137145974 124099437 102041674 102041675 102041676 102217474 102425861 162701524 95566337 162938326 162938327 162938328 136212896 6326101 59059877 59103604 59105062 97052224 59378726 156514436 66788661 156614224 156614225 156614231 156614239 156614241 156614251 156616667 156616668 156619127 89770229 16663020 89989618 56628400 56845955 70899489 91692850 3036169 91846522 91850964 91857064 10215500 69175355 69497010 641624 641681 99957894 60078499 60078646 60109619 129316839 29987096 29987099 165412853 165412854 165412855 165412856 89355142 90945623 71752269 93091914 93286457 123532914 131801521 131801522 158027103 68152165 68233016 68243417 68255877 68321398 139025105 139025265 45040429 70087999 98092727 98092728 92854535 59664699 10903976 1115 5988 193385 196128 448244 46782954 46936484 93532320 93532321 91242203 117783796 133568280 133611801 133687166 49766505 164721228 18649154 71024598 71024603 71026769 71078848 71122057 71160516 71171065 71295147 57181456 71306938 71309926 71310301 57193742 44120115 71469257 57358095 57702372 57997981 68519390 99134536 24892744 68984672 68986737);GNPS:(CCMSLIB00003139675 CCMSLIB00000479739);COCONUT:(CNP0208561);NORMAN:(NS00014135);METACYC:(CPD0-2682 CPD-10684 SUCROSE);PLANTCYC:(SUCROSE);CHEBI:(51833 65313 17992 193884 18260 172954);KEGG:(C00089 C18068 C04219);DSSTox:(DTXSID2021288 DTXSID20859012 DTXSID501278718);LOTUS:(Q104972893 Q104972894 Q4027534 Q103818207);YMDB:(YMDB00906);PUBCHEMANNOTATIONDRUG:(null);PUBCHEMANNOTATIONFOOD:(null);PUBMED:(null);KNAPSACK:(CZMRCDWAGMRECN-UHFFFAOYSA-N)"
"P_3715"	3741046	11.562	149.02278	"C8H4O3"	"[M + H]+"	"C8H5O3+"	"Polyketides"	"0,820"	"Cyclic polyketides"	"0,776"	"Phthalide derivatives"	"0,630"	"Organoheterocyclic compounds"	"0,984"	"Benzofurans"	"0,914"	"Benzofuranones"	"0,964"	"Phthalic anhydrides"	"0,987"	"Phthalic anhydrides"	"0,987"	"Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Benzofurans; Organooxygen compounds; Dicarboxylic acids and derivatives; Carboxylic acid derivatives; Phthalic anhydrides; Carboxylic acid anhydrides; Benzofuranones; Benzenoids; Isobenzofuranones; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Isocoumarans; Organic oxygen compounds; Chemical entities"	NA	1	1	"0,682"	"0,682"	"-37,553"	NA	"25,194"	"LGRFSURHDFAFJT"	"InChI=1S/C8H4O3/c9-7-5-3-1-2-4-6(5)8(10)11-7/h1-4H"	"Phthalic Anhydride"	"C1=CC=C2C(=C1)C(=O)OC2=O"	"1,300"	"16212996;23560834;141744202;71751657;123741998;6811;71309648"	"PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0256501);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(6811);SUPERNATURAL:(SN0204975);HSDB:(85-44-9);MESH:(6811);PUBCHEM:(16212996 23560834 141744202 71751657 123741998 6811 71309648);MACONDA:(CON00081);COCONUT:(CNP0332462);NORMAN:(NS00004500);CHEBI:(36605);DSSTox:(DTXSID2021159 DTXSID40583761);LOTUS:(Q410882);PUBCHEMANNOTATIONDRUG:(null);PUBCHEMANNOTATIONFOOD:(null);PUBMED:(null)"
"P_17287"	3321182	11.563	301.14086	"C13H20N2O6"	"[M + H]+"	"C13H21N2O6+"	"Carbohydrates"	"0,971"	"Nucleosides"	"0,986"	"Pyrimidine nucleosides"	"0,996"	"Nucleosides, nucleotides, and analogues"	"0,733"	"Pyrimidine nucleosides"	"0,858"	""	""	""	""	"Pyrimidine nucleosides"	"0,858"	"Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Alcohols and polyols; Lactams; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Nucleosides, nucleotides, and analogues; Pyrimidones; Organooxygen compounds; Organic carbonic acids and derivatives; Pyrimidine nucleosides; Ureas; Carboxylic acid derivatives; Diazines; Hydropyrimidines; Vinylogous amides; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	NA	1	1	"0,030"	"0,030"	"-302,787"	NA	"28,562"	"URNIKBZAMSRPMA"	"InChI=1S/C13H20N2O6/c1-2-10(16)9-21-12(18)4-3-11(17)20-8-7-15-6-5-14-13(15)19/h3-4,10,16H,2,5-9H2,1H3,(H,14,19)"	"4-O-(2-hydroxybutyl) 1-O-[2-(2-oxoimidazolidin-1-yl)ethyl] but-2-enedioate"	"CCC(COC(=O)C=CC(=O)OCCN1CCNC1=O)O"	"-0,400"	"6436442;85934"	"NORMAN:(NS00053769);PUBCHEM:(6436442 85934);DSSTox:(DTXSID601145015)"
"P_15523"	1251945	13.201	282.27851	"C18H35NO"	"[M + H]+"	"C18H36NO+"	"Fatty acids"	"1,000"	"Fatty amides"	"1,000"	"Primary amides"	"1,000"	"Lipids and lipid-like molecules"	"0,899"	"Fatty Acyls"	"0,916"	"Fatty amides"	"0,888"	""	""	"Fatty amides"	"0,888"	"Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; Primary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	NA	1	1	"0,745"	"0,543"	"-76,619"	NA	"270,725"	"FATBGEAMYMYZAF"	"InChI=1S/C18H35NO/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h9-10H,2-8,11-17H2,1H3,(H2,19,20)"	"Oleamide"	"CCCCCCCCC=CCCCCCCCC(=O)N"	"6,600"	"5283387;5353370;154302321;148920514;1930;117642701;117065529"	"PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0002117 HMDB0247607);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(1930 5283387 5353370);LIPIDMAPS:(LMFA08010004 LMFA08010011);SUPERNATURAL:(SN0080638);HSDB:(301-02-0);MESH:(1930 5283387 5353370);FooDB:(FDB012436);PUBCHEM:(5283387 5353370 154302321 148920514 1930 117642701 117065529);GNPS:(CCMSLIB00003139836);MACONDA:(CON00053);COCONUT:(CNP0300480);NORMAN:(NS00006123 NS00071116 NS00076579 NS00076664 NS00102378);METACYC:(CPD6666-1);CHEBI:(165592 116314);KEGG:(C19670);DSSTox:(DTXSID6027137 DTXSID60859314 DTXSID901017170);LOTUS:(Q27094678 Q27459975 Q4370);PUBCHEMANNOTATIONDRUG:(null);PUBCHEMANNOTATIONFOOD:(null);PUBMED:(null)"
"N_21958"	1040406	0.953	379.08168	"C17H12N6O5"	"[M - H]-"	"C17H11N6O5-"	"Alkaloids"	"0,458"	"Nucleosides"	"0,061"	"Purine nucleosides"	"0,119"	"Organoheterocyclic compounds"	"0,999"	"Imidazopyrimidines"	"0,863"	"Purines and purine derivatives"	"0,844"	""	""	"Purines and purine derivatives"	"0,844"	"Organic compounds; Organoheterocyclic compounds; Nitrobenzenes; Pyrimidines and pyrimidine derivatives; Imidazoles; Purines and purine derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Organic nitro compounds; Diazines; Organic oxoazanium compounds; Imidazopyrimidines; Benzene and substituted derivatives; Substituted imidazoles; N-substituted imidazoles; Benzenoids; Organic zwitterions; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Propargyl-type 1,3-dipolar organic compounds; Organic oxides; C-nitro compounds; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Nitroaromatic compounds; Organic nitrogen compounds; Chemical entities"	NA	1	2	"0,056"	"0,114"	"-202,140"	NA	"36,859"	"MZGGZCIIMIXDPV"	"InChI=1S/C17H12N6O5/c24-17(21-18-10-11-3-1-5-13(7-11)22(25)26)16-9-15(19-20-16)12-4-2-6-14(8-12)23(27)28/h1-10H,(H,19,20)(H,21,24)"	"3-(3-nitrophenyl)-N-[(3-nitrophenyl)methylideneamino]-1H-pyrazole-5-carboxamide"	"C1=CC(=CC(=C1)[N+](=O)[O-])C=NNC(=O)C2=CC(=NN2)C3=CC(=CC=C3)[N+](=O)[O-]"	"2,800"	"6888445;5615707;1978577"	"PUBCHEMANNOTATIONSAFETYANDTOXIC;PUBCHEM:(6888445 5615707 1978577)"
"P_24566"	790042	1.153	365.10566	"C13H18N4O7"	"[M + Na]+"	"C13H18N4NaO7+"	"Carbohydrates"	"0,965"	"Nucleosides"	"0,803"	"Pyrimidine nucleosides"	"0,794"	"Organic oxygen compounds"	"1,000"	"Organooxygen compounds"	"0,997"	"Carbohydrates and carbohydrate conjugates"	"0,993"	"Monosaccharides"	"0,953"	"Hexoses"	"0,742"	"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Pyrimidines and pyrimidine derivatives; Alcohols and polyols; Organic acids and derivatives; Organonitrogen compounds; Primary alcohols; Pyrimidones; Organooxygen compounds; Diazines; Hexoses; Monosaccharides; Secondary alcohols; Oxanes; Glycosyl compounds; Hydropyrimidines; Glycosylamines; Polyols; Amines; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	NA	1	1	"0,098"	"0,098"	"-256,768"	NA	"62,986"	"YPSDUJLVLCITNC"	"InChI=1S/C13H18N4O7/c18-6-10-12(20)13(21)11(19)9(24-10)5-14-16-15-7-1-3-8(4-2-7)17(22)23/h1-4,9-13,18-21H,5-6H2,(H,14,15)"	"beta-D-Glucopyranosyl-4-nitrophenyltriazene"	"C1=CC(=CC=C1NN=NCC2C(C(C(C(O2)CO)O)O)O)[N+](=O)[O-]"	"-0,100"	"20839198;21124156;21124157;100961566;162893"	"BloodExposome:(162893);MESH:(162893);PUBCHEM:(20839198 21124156 21124157 100961566 162893);DSSTox:(DTXSID60975301);PUBMED:(null)"
"P_15202"	601246	11.561	279.15883	"C16H22O4"	"[M + H]+"	"C16H23O4+"	"Shikimates and Phenylpropanoids"	"0,380"	"Phenolic acids (C6-C1)"	"0,178"	"Simple phenolic acids"	"0,231"	"Benzenoids"	"0,997"	"Benzene and substituted derivatives"	"0,970"	"Benzoic acids and derivatives"	"0,985"	"Benzoic acid esters"	"0,966"	"Benzoic acid esters"	"0,966"	"Organic compounds; Benzoic acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Benzoyl derivatives; Organooxygen compounds; Dicarboxylic acids and derivatives; Carboxylic acid derivatives; Carboxylic acid esters; Benzoic acid esters; Benzene and substituted derivatives; Benzenoids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	NA	1	1	"0,690"	"0,775"	"-27,983"	NA	"31,691"	"DOIRQSBPFJWKBE"	"InChI=1S/C16H22O4/c1-3-5-11-19-15(17)13-9-7-8-10-14(13)16(18)20-12-6-4-2/h7-10H,3-6,11-12H2,1-2H3"	"Dibutyl Phthalate"	"CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC"	"4,273"	"102601147;16213410;3026;171810;141479279"	"PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0033244);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(3026);SUPERNATURAL:(SN0071063 SN0071064);HSDB:(84-74-2);MESH:(3026);FooDB:(FDB011261);PUBCHEM:(102601147 16213410 3026 171810 141479279);GNPS:(CCMSLIB00003138727 CCMSLIB00000579910 CCMSLIB00003134931);COCONUT:(CNP0105770);NORMAN:(NS00010095);METACYC:(CPD-25697);CHEBI:(34687);KEGG:(C14214);DSSTox:(DTXSID101334364 DTXSID2021781 DTXSID20985461 DTXSID70583931);LOTUS:(Q415612);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null)"
"N_9403"	358974	17.226	248.961	"C9H5ClF2O2S"	"[M - H]-"	"C9H4ClF2O2S-"	"Shikimates and Phenylpropanoids"	"0,807"	"Flavonoids"	"0,444"	"Chalcones"	"0,583"	"Benzenoids"	"0,999"	"Benzene and substituted derivatives"	"0,992"	"Benzoyl derivatives"	"0,753"	""	""	"Benzoyl derivatives"	"0,753"	"Organic compounds; Organosulfur compounds; Halobenzenes; Organohalogen compounds; Benzoyl derivatives; Organooxygen compounds; Aryl chlorides; Aryl fluorides; Chlorobenzenes; Fluorobenzenes; Organochlorides; Organofluorides; Benzene and substituted derivatives; Benzenoids; Aryl halides; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	NA	1	5	"0,060"	"0,060"	"-92,130"	NA	"7,761"	"NGQCYLDCILYKNH"	"InChI=1S/C9H5ClF2O2S/c1-4(13)15-8-2-5(9(10)14)6(11)3-7(8)12/h2-3H,1H3"	"S-(5-carbonochloridoyl-2,4-difluorophenyl) ethanethioate"	"CC(=O)SC1=C(C=C(C(=C1)C(=O)Cl)F)F"	"2,900"	"88403659"	"PUBCHEM:(88403659)"
"P_24862"	305856	0.962	367.09985	"C11H16N6O7"	"[M + Na]+"	"C11H16N6NaO7+"	"Carbohydrates"	"0,995"	"Nucleosides"	"0,984"	"Purine nucleosides"	"0,590"	"Nucleosides, nucleotides, and analogues"	"0,606"	"Imidazole ribonucleosides and ribonucleotides"	"0,741"	"1-ribosyl-imidazolecarboxamides"	"0,544"	""	""	"1-ribosyl-imidazolecarboxamides"	"0,544"	"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Imidazoles; Alcohols and polyols; Organic acids and derivatives; Organonitrogen compounds; Primary alcohols; Nucleosides, nucleotides, and analogues; Organooxygen compounds; Azoles; 1-ribosyl-imidazolecarboxamides; Pentoses; Monosaccharides; Secondary alcohols; Imidazole ribonucleosides and ribonucleotides; Glycosyl compounds; Glycosylamines; Substituted imidazoles; N-substituted imidazoles; Amines; Primary amines; Tetrahydrofurans; Organic 1,3-dipolar compounds; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	NA	1	2	"0,143"	"0,143"	"-224,937"	NA	"85,293"	"JYCUSKRTQLTOMO"	"InChI=1S/C11H16N6O7/c12-5-1-6(15-16-13)17(11(22)14-5)3-23-10-9(21)8(20)7(19)4(2-18)24-10/h1,4,7-10,18-21H,2-3H2,(H2,12,14,22)"	"4-amino-6-azido-1-[[(3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]pyrimidin-2-one"	"C1=C(N(C(=O)N=C1N)COC2C(C(C(C(O2)CO)O)O)O)N=[N+]=[N-]"	"-2,200"	"140640559"	"PUBCHEM:(140640559)"
"N_31447"	262588	17.226	452.92243	"C14H12Cl2N2O5S3"	"[M - H]-"	"C14H11Cl2N2O5S3-"	"Amino acids and Peptides"	"0,580"	"β-lactams"	"0,036"	"Cephalosporins"	"0,009"	"Benzenoids"	"0,998"	"Benzene and substituted derivatives"	"0,995"	"Benzenesulfonamides"	"0,797"	""	""	"Benzenesulfonamides"	"0,797"	"Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Benzenesulfonamides; Halobenzenes; Alkyl aryl ethers; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organosulfonic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Aryl chlorides; Carboxylic acid derivatives; Chlorobenzenes; Monocarboxylic acids and derivatives; Sulfonyls; Carboxylic acid esters; Organochlorides; Organosulfonamides; Carbonyl compounds; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Aryl halides; Aminosulfonyl compounds; Organic oxides; Heteroaromatic compounds; Hydrocarbon derivatives; Benzenesulfonyl compounds; Organic sulfonic acids and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Phenoxy compounds; Chemical entities"	NA	1	6	"0,023"	"0,023"	"-186,211"	NA	"0,152"	"QKPWGBQRESYXMU"	"InChI=1S/C14H12Cl2N2O5S3/c1-2-25(20,21)18-10-6-11(19)14(26(17,22)23)7-13(10)24-12-4-3-8(15)5-9(12)16/h2-7,18-19H,1H2,(H2,17,22,23)"	"5-(2,4-Dichlorophenyl)sulfanyl-4-(ethenylsulfonylamino)-2-hydroxybenzenesulfonamide"	"C=CS(=O)(=O)NC1=CC(=C(C=C1SC2=C(C=C(C=C2)Cl)Cl)S(=O)(=O)N)O"	"3,500"	"69976543"	"PUBCHEM:(69976543)"
