"feature"	"intensity"	"Average.Rt.min."	"Average.Mz"	"molecularFormula.x"	"adduct.x"	"precursorFormula.x"	"NPC.pathway"	"NPC.pathway.Probability"	"NPC.superclass"	"NPC.superclass.Probability"	"NPC.class"	"NPC.class.Probability"	"ClassyFire.superclass"	"ClassyFire.superclass.probability"	"ClassyFire.class"	"ClassyFire.class.Probability"	"ClassyFire.subclass"	"ClassyFire.subclass.Probability"	"ClassyFire.level.5"	"ClassyFire.level.5.Probability"	"ClassyFire.most.specific.class"	"ClassyFire.most.specific.class.Probability"	"ClassyFire.all.classifications"	"overallFeatureQuality.x"	"structurePerIdRank"	"formulaRank.y"	"ConfidenceScoreExact"	"ConfidenceScoreApproximate"	"CSI.FingerIDScore"	"ZodiacScore"	"SiriusScore"	"InChIkey2D"	"InChI"	"name"	"smiles"	"xlogp"	"pubchemids"	"links"
"P_3715"	2207604	11.562	149.02278	"C8H4O3"	"[M + H]+"	"C8H5O3+"	"Polyketides"	"0,820"	"Cyclic polyketides"	"0,776"	"Phthalide derivatives"	"0,630"	"Organoheterocyclic compounds"	"0,984"	"Benzofurans"	"0,914"	"Benzofuranones"	"0,964"	"Phthalic anhydrides"	"0,987"	"Phthalic anhydrides"	"0,987"	"Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Benzofurans; Organooxygen compounds; Dicarboxylic acids and derivatives; Carboxylic acid derivatives; Phthalic anhydrides; Carboxylic acid anhydrides; Benzofuranones; Benzenoids; Isobenzofuranones; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Isocoumarans; Organic oxygen compounds; Chemical entities"	NA	1	1	"0,682"	"0,682"	"-37,553"	NA	"25,194"	"LGRFSURHDFAFJT"	"InChI=1S/C8H4O3/c9-7-5-3-1-2-4-6(5)8(10)11-7/h1-4H"	"Phthalic Anhydride"	"C1=CC=C2C(=C1)C(=O)OC2=O"	"1,300"	"16212996;23560834;141744202;71751657;123741998;6811;71309648"	"PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0256501);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(6811);SUPERNATURAL:(SN0204975);HSDB:(85-44-9);MESH:(6811);PUBCHEM:(16212996 23560834 141744202 71751657 123741998 6811 71309648);MACONDA:(CON00081);COCONUT:(CNP0332462);NORMAN:(NS00004500);CHEBI:(36605);DSSTox:(DTXSID2021159 DTXSID40583761);LOTUS:(Q410882);PUBCHEMANNOTATIONDRUG:(null);PUBCHEMANNOTATIONFOOD:(null);PUBMED:(null)"
"P_17287"	1483984	11.563	301.14086	"C13H20N2O6"	"[M + H]+"	"C13H21N2O6+"	"Carbohydrates"	"0,971"	"Nucleosides"	"0,986"	"Pyrimidine nucleosides"	"0,996"	"Nucleosides, nucleotides, and analogues"	"0,733"	"Pyrimidine nucleosides"	"0,858"	""	""	""	""	"Pyrimidine nucleosides"	"0,858"	"Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Alcohols and polyols; Lactams; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Nucleosides, nucleotides, and analogues; Pyrimidones; Organooxygen compounds; Organic carbonic acids and derivatives; Pyrimidine nucleosides; Ureas; Carboxylic acid derivatives; Diazines; Hydropyrimidines; Vinylogous amides; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	NA	1	1	"0,030"	"0,030"	"-302,787"	NA	"28,562"	"URNIKBZAMSRPMA"	"InChI=1S/C13H20N2O6/c1-2-10(16)9-21-12(18)4-3-11(17)20-8-7-15-6-5-14-13(15)19/h3-4,10,16H,2,5-9H2,1H3,(H,14,19)"	"4-O-(2-hydroxybutyl) 1-O-[2-(2-oxoimidazolidin-1-yl)ethyl] but-2-enedioate"	"CCC(COC(=O)C=CC(=O)OCCN1CCNC1=O)O"	"-0,400"	"6436442;85934"	"NORMAN:(NS00053769);PUBCHEM:(6436442 85934);DSSTox:(DTXSID601145015)"
"P_15523"	988966	13.201	282.27851	"C18H35NO"	"[M + H]+"	"C18H36NO+"	"Fatty acids"	"1,000"	"Fatty amides"	"1,000"	"Primary amides"	"1,000"	"Lipids and lipid-like molecules"	"0,899"	"Fatty Acyls"	"0,916"	"Fatty amides"	"0,888"	""	""	"Fatty amides"	"0,888"	"Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; Primary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	NA	1	1	"0,745"	"0,543"	"-76,619"	NA	"270,725"	"FATBGEAMYMYZAF"	"InChI=1S/C18H35NO/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h9-10H,2-8,11-17H2,1H3,(H2,19,20)"	"Oleamide"	"CCCCCCCCC=CCCCCCCCC(=O)N"	"6,600"	"5283387;5353370;154302321;148920514;1930;117642701;117065529"	"PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0002117 HMDB0247607);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(1930 5283387 5353370);LIPIDMAPS:(LMFA08010004 LMFA08010011);SUPERNATURAL:(SN0080638);HSDB:(301-02-0);MESH:(1930 5283387 5353370);FooDB:(FDB012436);PUBCHEM:(5283387 5353370 154302321 148920514 1930 117642701 117065529);GNPS:(CCMSLIB00003139836);MACONDA:(CON00053);COCONUT:(CNP0300480);NORMAN:(NS00006123 NS00071116 NS00076579 NS00076664 NS00102378);METACYC:(CPD6666-1);CHEBI:(165592 116314);KEGG:(C19670);DSSTox:(DTXSID6027137 DTXSID60859314 DTXSID901017170);LOTUS:(Q27094678 Q27459975 Q4370);PUBCHEMANNOTATIONDRUG:(null);PUBCHEMANNOTATIONFOOD:(null);PUBMED:(null)"
"P_15202"	370528	11.561	279.15883	"C16H22O4"	"[M + H]+"	"C16H23O4+"	"Shikimates and Phenylpropanoids"	"0,380"	"Phenolic acids (C6-C1)"	"0,178"	"Simple phenolic acids"	"0,231"	"Benzenoids"	"0,997"	"Benzene and substituted derivatives"	"0,970"	"Benzoic acids and derivatives"	"0,985"	"Benzoic acid esters"	"0,966"	"Benzoic acid esters"	"0,966"	"Organic compounds; Benzoic acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Benzoyl derivatives; Organooxygen compounds; Dicarboxylic acids and derivatives; Carboxylic acid derivatives; Carboxylic acid esters; Benzoic acid esters; Benzene and substituted derivatives; Benzenoids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	NA	1	1	"0,690"	"0,775"	"-27,983"	NA	"31,691"	"DOIRQSBPFJWKBE"	"InChI=1S/C16H22O4/c1-3-5-11-19-15(17)13-9-7-8-10-14(13)16(18)20-12-6-4-2/h7-10H,3-6,11-12H2,1-2H3"	"Dibutyl Phthalate"	"CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC"	"4,273"	"102601147;16213410;3026;171810;141479279"	"PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0033244);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(3026);SUPERNATURAL:(SN0071063 SN0071064);HSDB:(84-74-2);MESH:(3026);FooDB:(FDB011261);PUBCHEM:(102601147 16213410 3026 171810 141479279);GNPS:(CCMSLIB00003138727 CCMSLIB00000579910 CCMSLIB00003134931);COCONUT:(CNP0105770);NORMAN:(NS00010095);METACYC:(CPD-25697);CHEBI:(34687);KEGG:(C14214);DSSTox:(DTXSID101334364 DTXSID2021781 DTXSID20985461 DTXSID70583931);LOTUS:(Q415612);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null)"
"N_9403"	368605	17.226	248.961	"C9H5ClF2O2S"	"[M - H]-"	"C9H4ClF2O2S-"	"Shikimates and Phenylpropanoids"	"0,807"	"Flavonoids"	"0,444"	"Chalcones"	"0,583"	"Benzenoids"	"0,999"	"Benzene and substituted derivatives"	"0,992"	"Benzoyl derivatives"	"0,753"	""	""	"Benzoyl derivatives"	"0,753"	"Organic compounds; Organosulfur compounds; Halobenzenes; Organohalogen compounds; Benzoyl derivatives; Organooxygen compounds; Aryl chlorides; Aryl fluorides; Chlorobenzenes; Fluorobenzenes; Organochlorides; Organofluorides; Benzene and substituted derivatives; Benzenoids; Aryl halides; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	NA	1	5	"0,060"	"0,060"	"-92,130"	NA	"7,761"	"NGQCYLDCILYKNH"	"InChI=1S/C9H5ClF2O2S/c1-4(13)15-8-2-5(9(10)14)6(11)3-7(8)12/h2-3H,1H3"	"S-(5-carbonochloridoyl-2,4-difluorophenyl) ethanethioate"	"CC(=O)SC1=C(C=C(C(=C1)C(=O)Cl)F)F"	"2,900"	"88403659"	"PUBCHEM:(88403659)"
"P_4906"	324457	5.456	163.09884	"C10H11NO"	"[M + H + H]+"	"C10H13NO+"	"Alkaloids"	"0,999"	"Tryptophan alkaloids"	"0,533"	"Pyridine alkaloids"	"0,170"	"Benzenoids"	"0,773"	""	""	""	""	""	""	"Benzenoids"	"0,773"	"Organic compounds; Organoheterocyclic compounds; Pyridines and derivatives; Organonitrogen compounds; Organooxygen compounds; Benzenoids; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	NA	1	1	"0,085"	"0,085"	"-137,085"	NA	"91,343"	"JYVGHERHVBFYJB"	"InChI=1S/C10H11NO/c1-2-7-6-11-10-4-3-8(12)5-9(7)10/h3-6,11-12H,2H2,1H3"	"3-ethyl-1H-indol-5-ol"	"CCC1=CNC2=C1C=C(C=C2)O"	"2,386"	"15366337"	"PUBCHEMANNOTATIONBIO:(null);NORMAN:(NS00116676);PUBCHEM:(15366337);PUBCHEMANNOTATIONDRUG:(null)"
"N_31447"	259054	17.226	452.92243	"C14H12Cl2N2O5S3"	"[M - H]-"	"C14H11Cl2N2O5S3-"	"Amino acids and Peptides"	"0,580"	"β-lactams"	"0,036"	"Cephalosporins"	"0,009"	"Benzenoids"	"0,998"	"Benzene and substituted derivatives"	"0,995"	"Benzenesulfonamides"	"0,797"	""	""	"Benzenesulfonamides"	"0,797"	"Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Benzenesulfonamides; Halobenzenes; Alkyl aryl ethers; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organosulfonic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Aryl chlorides; Carboxylic acid derivatives; Chlorobenzenes; Monocarboxylic acids and derivatives; Sulfonyls; Carboxylic acid esters; Organochlorides; Organosulfonamides; Carbonyl compounds; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Aryl halides; Aminosulfonyl compounds; Organic oxides; Heteroaromatic compounds; Hydrocarbon derivatives; Benzenesulfonyl compounds; Organic sulfonic acids and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Phenoxy compounds; Chemical entities"	NA	1	6	"0,023"	"0,023"	"-186,211"	NA	"0,152"	"QKPWGBQRESYXMU"	"InChI=1S/C14H12Cl2N2O5S3/c1-2-25(20,21)18-10-6-11(19)14(26(17,22)23)7-13(10)24-12-4-3-8(15)5-9(12)16/h2-7,18-19H,1H2,(H2,17,22,23)"	"5-(2,4-Dichlorophenyl)sulfanyl-4-(ethenylsulfonylamino)-2-hydroxybenzenesulfonamide"	"C=CS(=O)(=O)NC1=CC(=C(C=C1SC2=C(C=C(C=C2)Cl)Cl)S(=O)(=O)N)O"	"3,500"	"69976543"	"PUBCHEM:(69976543)"
"P_3654"	237300	5.099	148.0936	"C7H11F2N"	"[M + H]+"	"C7H12F2N+"	"Alkaloids"	"0,921"	"Pseudoalkaloids (transamidation)"	"0,338"	"Acetate-derived alkaloids"	"0,072"	"Organohalogen compounds"	"1,000"	"Alkyl halides"	"0,998"	"Alkyl fluorides"	"0,997"	""	""	"Alkyl fluorides"	"0,997"	"Organic compounds; Organohalogen compounds; Organonitrogen compounds; Alkyl fluorides; Organofluorides; Amines; Primary amines; Alkyl halides; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities"	NA	1	2	"0,134"	"0,134"	"-54,752"	NA	"5,335"	"UZTMJHKLLGDMIL"	"InChI=1S/C7H11F2N/c8-5(9)7-1-6(2-7,3-7)4-10/h5H,1-4,10H2"	"[3-(Difluoromethyl)bicyclo[1.1.1]pentan-1-yl]methanamine"	"C1C2(CC1(C2)C(F)F)CN"	"1,000"	"155970398"	"PUBCHEM:(155970398)"
"N_9408"	232050	0.844	248.9617	"C6H3FN2O6S"	"[M - H]-"	"C6H2FN2O6S-"	"Alkaloids"	"0,678"	"Tyrosine alkaloids"	"0,027"	"Phenylethylamines"	"0,008"	"Benzenoids"	"0,991"	"Phenols"	"0,253"	"Nitrophenols"	"0,632"	""	""	"Nitrophenols"	"0,632"	"Organic compounds; Organosulfur compounds; Nitrobenzenes; Nitrophenols; Organic acids and derivatives; Organohalogen compounds; Organosulfonic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Aryl fluorides; Organic nitro compounds; Sulfonyls; Organic oxoazanium compounds; Organofluorides; Benzene and substituted derivatives; Benzenoids; Organic cations; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Propargyl-type 1,3-dipolar organic compounds; Organic salts; Organic oxides; C-nitro compounds; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organopnictogen compounds; Organic oxygen compounds; Nitroaromatic compounds; Organic nitrogen compounds; Chemical entities"	NA	1	7	"0,114"	"0,114"	"-96,582"	NA	"9,900"	"AUPURNORNBGWKI"	"InChI=1S/C6H3FN2O6S/c7-16(14,15)6-2-1-4(8(10)11)3-5(6)9(12)13/h1-3H"	"2,4-Dinitrobenzenesulfonyl fluoride"	"C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])S(=O)(=O)F"	"1,373"	"119098099"	"PUBCHEMANNOTATIONSAFETYANDTOXIC;PUBCHEM:(119098099);DSSTox:(DTXSID601293325)"
"N_14713"	215948	10.983	311.16914	"C17H28O3S"	"[M - H]-"	"C17H27O3S-"	"Polyketides"	"0,259"	"Aromatic polyketides"	"0,065"	"Catechols with side chains"	"0,216"	"Benzenoids"	"1,000"	"Benzene and substituted derivatives"	"0,996"	"Benzenesulfonic acids and derivatives"	"0,995"	""	""	"Benzenesulfonic acids and derivatives"	"0,995"	"Organic compounds; Organosulfur compounds; Benzenesulfonic acids and derivatives; Organic acids and derivatives; Organosulfonic acids and derivatives; Sulfonyls; Organosulfonic acids; Arylsulfonic acids and derivatives; Benzene and substituted derivatives; Benzenoids; Arylsufonic acids; 1-sulfo,2-unsubstituted aromatic compounds; Organic oxides; Hydrocarbon derivatives; Benzenesulfonyl compounds; Organic sulfonic acids and derivatives; Organic oxygen compounds; Chemical entities"	NA	1	2	"0,317"	"0,509"	"-16,754"	NA	"20,344"	"XNESFGKFSZHIKF"	"InChI=1S/C17H28O3S/c1-2-3-4-5-6-7-8-9-10-13-16-14-11-12-15-17(16)21(18,19)20/h11-12,14-15H,2-10,13H2,1H3,(H,18,19,20)"	"2-undecylbenzenesulfonic Acid"	"CCCCCCCCCCCC1=CC=CC=C1S(=O)(=O)O"	"6,300"	"23509287;172720"	"NORMAN:(NS00050109 NS00087752 NS00089300);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);PUBCHEM:(23509287 172720);DSSTox:(DTXSID00977480 DTXSID90866894)"
